title,price(naiin),price(meb),difference,cheapest_platform
At Your Best เป็นคุณแบบที่ดีที่สุด,151.0,192.0,41.0,NAIIN
สิ่งมหัศจรรย์ที่เกิดขึ้นเมื่อฉันลองตื่นก่อนโลก,143.5,153.0,9.5,NAIIN
รางวัลใหญ่เป็นของคนที่รู้จักเล่นเกมยาว,179.0,178.0,1.0,MEB
นิสัยคนเก่งระดับท็อป 5% ที่ AI ค้นพบ,146.0,146.0,0.0,MEB
วิธีพูดให้คนชอบคุณใน 1 นาที,133.0,133.0,0.0,MEB
NOISE จุดด้อยของการตัดสินโดยมนุษย์,270.0,269.0,1.0,MEB
Tiny Habits เปลี่ยนน้อยนิด พิชิตทุกเป้าหมาย,183.0,237.0,54.0,NAIIN
อะไรทำให้ชีวิตเราดีกว่าเมื่อวาน,166.0,165.0,1.0,MEB
คิดให้รวย ฉบับอัปเดต ย่อยง่าย กระชับที่สุด,139.5,131.0,8.5,MEB
คนที่เก่งขึ้นทุกวัน เขาทำงานด้วย Mindset แบบนี้,146.0,146.0,0.0,MEB
รวยมาตั้งแต่จิตใต้สำนึก,159.0,159.0,0.0,MEB
คนฉลาด เจรจาเป็น,169.0,169.0,0.0,MEB
เป็นมนุษย์แฮปปี้ในโลกที่มีแต่เรื่องบ้าๆ,164.5,176.0,11.5,NAIIN
RESILIENCE ยืนหยัดได้ไม่ว่าจะเกิดอะไรขึ้น,150.5,161.0,10.5,NAIIN
เทคนิคการเป็นวิทยากรที่ประสบความสำเร็จ,150.0,150.0,0.0,MEB
คนแบบไหนอยู่ด้วยแล้วสบายใจ คนแบบไหนอยู่ใกล้แล้วเพลีย,156.0,165.0,9.0,NAIIN
เทคนิคการอ่านให้เอามาใช้งานได้เลย,133.0,133.0,0.0,MEB
ใช้สมองพลังบวกเอาชนะอารมณ์ลบ,172.0,171.0,1.0,MEB
ที่นี่ไม่ต้อนรับคนเฮงซวย,172.0,171.0,1.0,MEB
สกิลขั้นเทพของนักบริหารเวลาที่รู้ใจสมอง,172.0,172.0,0.0,MEB
ความลับของคนฉลาดพูด,132.3,141.0,8.7,NAIIN
ศิลปะแห่งการผัดวันประกันพรุ่ง,153.0,152.0,1.0,MEB
สำเร็จสบายสบาย เพราะเรียนรู้ไวแบบคนขี้เกียจ,133.0,133.0,0.0,MEB
คนเก่งให้ feedback ที่แตกต่าง,146.0,146.0,0.0,MEB
Life on the Rock,97.3,104.0,6.7,NAIIN
พลังสมองของคนทำเรื่องยากได้ ทำเรื่องง่ายเร็ว,133.0,133.0,0.0,MEB
พูดอย่างฉลาด,129.0,129.0,0.0,MEB
คนทำงานสำเร็จไม่จำเป็นต้องสมบูรณ์แบบ,150.0,150.0,0.0,MEB
SHINE FROM WITHIN ส่องแสงเจิดจรัสจากภายใน,219.0,219.0,0.0,MEB
เถ้าแก่ (ข้างถนน) สอนลูกรวย,60.0,60.0,0.0,MEB
รู้ก่อนตอนนี้ ดีกว่ารู้งี้ตอนหลัง,220.0,220.0,0.0,MEB
ยุ่งจริง! หรือแค่คิดไปเอง,199.2,249.0,49.8,NAIIN
เลือกเป็นเห็นทางรวย,90.0,90.0,0.0,MEB
THE SUPER POWER OF WISDOM พลังมหาปัญญา,249.0,329.0,80.0,NAIIN
ภาระที่อมไว้คายออกมาเถอะนะ,180.0,191.0,11.0,NAIIN
คิดใหญ่ ไม่คิดเล็ก,219.0,219.0,0.0,MEB
แค่แก้ 20 ข้อนี้ผ่านเป็นผู้บริหารหรือเจ้าของกิจการได้เลย,188.0,199.0,11.0,NAIIN
Personal OKRs ชีวิตจะสำเร็จตามเป้าหมาย ถ้าวัดผลได้เป็นระบบ,126.0,125.0,1.0,MEB
Before Success กว่าจะถึงวันนั้น,200.0,200.0,0.0,MEB
จงเป็นเช่นน้ำ,157.5,168.0,10.5,NAIIN
เราทุกคนล้วนเป็นเป็ด,69.0,69.0,0.0,MEB
100 เทคนิค พูดฟังง่ายจับใจคน,196.0,208.0,12.0,NAIIN
ฟัง คิด อ่าน เขียน,195.0,195.0,0.0,MEB
อย่าใช้หน้าตาเป็นอาวุธ,179.0,119.0,60.0,MEB
เฮ้อ...หายตัวไปเลยได้มั้ย,236.0,250.0,14.0,NAIIN
จิตวิทยาสังคม : ทฤษฎีและการประยุกต์,155.0,155.0,0.0,MEB
ปรับบุคลิก คลิกใจคนใน 1 วินาที,189.0,189.0,0.0,MEB
คิดแบบผู้นำ ทำแบบเศรษฐี : The Master Key to Riches,159.0,159.0,0.0,MEB
ผู้นำที่ยิ่งใหญ่ ใช้ใจ ไม่ใช้กฎ,215.2,269.0,53.8,NAIIN
Don't Worry About Small Things : แล้วชีวิตจะผ่านไปได้ด้วยดี,145.0,145.0,0.0,MEB
คู่มือพัฒนาสมอง จำแม่น จำเก่ง จำไว,90.0,62.0,28.0,MEB
๑๐๐ ข้อคิดจากอิฐ ๑ ก้อน,196.0,208.0,12.0,NAIIN
BRINK ไม่แย่เสมอไป ถ้ารู้จักพลิกมุมคิด,111.0,77.0,34.0,MEB
ความคิดเพิ่มพลังสมอง มุ่งสู่การเป็นผู้นำ,152.0,152.0,0.0,MEB
ใจดีกับตัวเองบ้างก็ได้,175.2,219.0,43.8,NAIIN
เครื่องมือพัฒนาทักษะการคิด,75.0,75.0,0.0,MEB
ทุกความสำเร็จ เริ่มต้นที่ลงมือทำ,176.0,176.0,0.0,MEB
แด่คุณ...ที่อยากให้ทุกอย่างเพอร์เฟกต์,153.0,152.0,1.0,MEB
Rethink เพราะชีวิตคือการคิดหลายชั้น,191.0,216.0,25.0,NAIIN
เมื่อทำงานสบายใจ ใครก็ปล่อยพลังได้เต็มที่,211.5,176.0,35.5,MEB
เสียงกระซิบของความคิด,120.0,120.0,0.0,MEB
จริงครึ่งบรรลัยครึ่ง,399.0,425.0,26.0,NAIIN
จ้างให้ก็ไม่โกรธ,100.0,106.0,6.0,NAIIN
เขียนให้คนยอมใจ ได้ผลตามที่คิด,157.5,168.0,10.5,NAIIN
คุณจะเลือกเป็ดหรือนกอินทรี : You Can't Send a Duck to Eagle School,140.0,140.0,0.0,MEB
Big Potential ศักยภาพแกร่งยกทีม,215.0,215.0,0.0,MEB
คนทำงานสำเร็จไม่จำเป็นต้องสมบูรณ์แบบ,150.0,150.0,0.0,MEB
คู่มือทดสอบความฉลาดและศักยภาพของพลังสมอง,213.0,213.0,0.0,MEB
ครีมชั้นบน,175.2,219.0,43.8,NAIIN
มองโลกเป็นต้องเห็นตัวเองก่อน,153.0,152.0,1.0,MEB
กลยุทธ์ดับนิสัยห่วยแตก How to Stop Feeling Like Sht (14 Habits That Are Holding You from Happiness),205.0,205.0,0.0,MEB
ยุ่งจริง! หรือแค่คิดไปเอง,199.2,249.0,49.8,NAIIN
เลือกเป็นเห็นทางรวย,90.0,90.0,0.0,MEB
อ่อนน้อมถ่อมตน พลังของผู้นำยุคใหม่,150.0,150.0,0.0,MEB
งามเริ่ด งานรุ่ง,185.0,185.0,0.0,MEB
TRIZ คิดออกทุกอย่างด้วยตาราง 9 ช่อง,276.5,296.0,19.5,NAIIN
ใจดีกับตัวเองบ้างก็ได้,175.2,219.0,43.8,NAIIN
ทุกความสำเร็จ เริ่มต้นที่ลงมือทำ,176.0,176.0,0.0,MEB
ลุกให้ไวในวันที่ใจล้ม,236.0,250.0,14.0,NAIIN
ควบคุมอารมณ์ได้ เป็นนายชีวิต,159.0,159.0,0.0,MEB
Personal OKRs ชีวิตจะสำเร็จตามเป้าหมาย ถ้าวัดผลได้เป็นระบบ,126.0,125.0,1.0,MEB
Before Success กว่าจะถึงวันนั้น,200.0,200.0,0.0,MEB
พลังภายในคำพูด,146.0,146.0,0.0,MEB
เราทุกคนล้วนเป็นเป็ด,69.0,69.0,0.0,MEB
สำเร็จ...ได้อีก,60.0,60.0,0.0,MEB
เจรจาขั้นเทพด้วยวาทะในสามก๊ก,78.0,54.0,24.0,MEB
คุณเปลี่ยนได้,159.0,159.0,0.0,MEB
ไดโกะ สุดยอดนักจัดระเบียบ เสกชีวิตใหม่ให้คุณ,189.0,189.0,0.0,MEB
คิดเป็นโลกเปลี่ยน,209.0,219.0,10.0,NAIIN
Honjok ความสุขจากการอยู่กับตัวเอง,150.5,161.0,10.5,NAIIN
เจรจาขั้นเทพด้วยวาทะในสามก๊ก,78.0,54.0,24.0,MEB
ปาฏิหาริย์วิทยาศาสตร์ จิตวิญญาณ พลังจิตใต้สำนึก ดึงดูดความสำเร็จ รวดเร็วและแรง,399.0,399.0,0.0,MEB
ไดโกะ สุดยอดนักจัดระเบียบ เสกชีวิตใหม่ให้คุณ,189.0,189.0,0.0,MEB
คิดเป็นโลกเปลี่ยน,209.0,219.0,10.0,NAIIN
Honjok ความสุขจากการอยู่กับตัวเอง,150.5,161.0,10.5,NAIIN
รู้มากไปทำไม รู้ใจก่อนดีกว่า,219.0,213.0,6.0,MEB
เพลงกระบี่ สีจิ้นผิง,335.0,335.0,0.0,MEB
ศิลปะการพูดสำหรับผู้นำ,175.0,175.0,0.0,MEB
ฮาวทูทิ้งผู้ชายเฮงซวย,249.0,189.0,60.0,MEB
ก็ยังดีที่ได้รัก,97.3,104.0,6.7,NAIIN
17 วิธีการสร้างตัวตนในโลกโซเชียล,108.0,75.0,33.0,MEB
ทำได้แค่ 5 % ความสำเร็จก็เป็นของคุณ,78.0,54.0,24.0,MEB
ความสุข is here เรียกเหมียวๆ เดี๋ยวก็มา,179.0,179.0,0.0,MEB
SELF LOVE SAFE LOVE รักตนเอง คือ รักที่ปลอดภัย,219.0,219.0,0.0,MEB
คุณจะเลือกเป็ดหรือนกอินทรี : You Can't Send a Duck to Eagle School,140.0,140.0,0.0,MEB
Big Potential ศักยภาพแกร่งยกทีม,215.0,215.0,0.0,MEB
ออกแบบชีวิตด้วยเทคนิคปฏิทิน 100 ปี,205.0,204.0,1.0,MEB
พลังพลิกชีวิตของกิจวัตรยามเย็น,150.5,161.0,10.5,NAIIN
หนังสือเตือนใจของเรา,180.0,180.0,0.0,MEB
ความสุขบนโลกสีเทา,280.0,280.0,0.0,MEB
พูดอย่างฉลาด,129.0,129.0,0.0,MEB
คนทำงานสำเร็จไม่จำเป็นต้องสมบูรณ์แบบ,150.0,150.0,0.0,MEB
คู่มือทดสอบความฉลาดและศักยภาพของพลังสมอง,213.0,213.0,0.0,MEB
หนังสือเตือนใจของเรา,180.0,180.0,0.0,MEB
Rethink เพราะชีวิตคือการคิดหลายชั้น,191.0,216.0,25.0,NAIIN
เมื่อทำงานสบายใจ ใครก็ปล่อยพลังได้เต็มที่,211.5,176.0,35.5,MEB
เสียงกระซิบของความคิด,120.0,120.0,0.0,MEB
จริงครึ่งบรรลัยครึ่ง,399.0,425.0,26.0,NAIIN
73 เคล็ดลับเปลี่ยนโอกาสให้เป็นความสำเร็จ,140.0,140.0,0.0,MEB
โลกที่ข้าพเจ้ามองเห็น,252.0,176.0,76.0,MEB
สื่อสารอย่างไรให้ได้ใจคน,200.0,239.0,39.0,NAIIN
คู่มือทดสอบความฉลาดและศักยภาพของพลังสมอง,213.0,213.0,0.0,MEB
เครื่องมือพัฒนาทักษะการคิด,75.0,75.0,0.0,MEB
ควบคุมอารมณ์ได้ เป็นนายชีวิต,159.0,159.0,0.0,MEB
เม้าท์มันๆ สารพันปัญหาคนทำงาน,110.0,110.0,0.0,MEB
คิดแบบนี้ชาตินี้มีแต่สำเร็จ,84.0,58.0,26.0,MEB
รักแท้ไม่เท่าเข้าใจกันและกัน,62.3,66.0,3.7,NAIIN
